"%s and greater","%s si mai mari"
"Advanced Search","Cautare avansata"
"All","Toate"
"Any Category","Orice Categorie"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Autogenerated site map","Site map autogenerat"
"Brand","Marca"
"By Category","Dupa Categorie"
"Catalog Advanced Search","Cautare avansata in catalog produse"
"Catalog Search","Catalog Search"
"Color","Culoare"
"Description","Descriere"
"Don't see what you're looking for?","Nu ai gasit ceea ce ai cautat?"
"Go","Go"
"Go to Home Page","Mergi la prima pagina"
"Gender","Gen"
"Grid","Tabel"
"Home","Home"
"List","Lista"
"Maximum Query Length","Maximum Query Length"
"Maximum Query Words Count","Maximum Query Words Count"
"Maximum Search query  length is %s. Your query was cut.","Maximum Search query  length is %s. Your query was cut."
"Minimal Query Length","Minimal Query Length"
"Modify your search","Cauta altceva"
"Name","Nume"
"No","No"
"No items were found using the following search criteria.","Nu s-a gasit nici un rezultat conform acestor criterii de cautare."
"Please enter ""0"" to enable layered navigation for any number of results","Please enter ""0"" to enable layered navigation for any number of results"
"Popular Search Terms","Cautari frecvente"
"Popular search terms","Cautari frecvente"
"Price","Pret"
"Relevance","Relevanta"
"Required Fields","Campuri obligatorii"
"Results","Rezultate"
"Search","Cauta"
"Search Settings","Setari cautare"
"Search Site","Cauta pe site"
"Search Terms","Cautari frecvente"
"Search Type","Search Type"
"Search entire store here...","Cauta in magazin..."
"Search results for '%s'","Rezultate cautare pentru '%s'"
"Search results for: '%s'","Rezultate cautare pentru: '%s'"
"SKU","Cod"
"Subscribe to Feed","Subscribe to Feed"
"There are no search terms available.","Nu exista cautari frecvente."
"Yes","Yes"
"You have to specify at least one search term","Trebuie sa specifici macar un termen de cautare"
"Your search returns no results.","Nu au fost gasite rezultate relevante pentru cuvintele introduse."
"up to %s","pina la %s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d produs(e)</strong> au fost gasite conform acestor criterii de cautare"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"Advanced Search","Advanced Search"
"Search Terms","Search Terms"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
"Minimum Search query length is %s","Va rugam introduceti un cuvant de cautat"