"Alert Email Sender","Expeditor emailuri alerte"
"Alert subscription has been saved.","Alerta a fost inregistrata. Vei primi o notificare pe email cand acest produs va fi disponibil."
"Alert subscription was deleted successfully","Abonarea la alerte a fost stearsa."
"Alert subscription was saved successfully","Abonarea la alerte a fost salvata."
"Allow alert when product comes back in stock","Accepta alerta cand reintra produsul in stoc"
"Allow alert when product price changes","Accepta alerte cand se schimba pretul produsului"
"Click here not to receive alerts for this product","Click aici sa nu primesti alerte pentru acest produs"
"Error Email Recipient","Destinatar e-mail erori"
"Error Email Sender","Expeditor e-mail erori"
"Error Email Template","Template e-mail erori"
"Frequency","Frecventa"
"Not enough parameters","Parametri insuficienti"
"Please try again later","Te rugam sa reincerci mai tarziu"
"Price alert Email Template","Template de e-mail alerte pret"
"Price:","Pret:"
"Product Alerts","Alerte produs"
"Product Alerts Run Settings","Product Alerts Run Settings"
"Product alerts Cron error","Product alerts Cron error"
"Product not found","Produsul nu a fost gasit."
"Product price alert","Alerte de pret pentru produs"
"Product stock alert","Alerte de stoc pentru produs"
"Sign up for price alert","Anunta-ma cand acest produs este la promotie"
"Sign up to get notified when this product is back in stock","Anunta-ma cand acest produs devine disponibil."
"Special price:","Pret special:"
"Start Time","Start Time"
"Stock alert Email Template","Template de e-mail alerte stoc"
"The alert subscription has been deleted.","Ai fost dezabonat de la alerta de pret."
"The alert subscription has been saved.","Alerta a fost inregistrata. Vei primi o notificare pe email cand acest produs va fi la promotie."
"Unsubscribe from all price alerts","Dezaboneaza-te de la toate alertele de pret."
"Unsubscribe from all stock alerts","Dezaboneaza-te de la toate alertele de stoc."
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Primesti acest email deoarece ai optat sa primesti alerte cand urmatoarele produse devin disponibile pe stoc:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Primesti acest email deoarece ai optat sa primesti alerte cand urmatoarele produse isi schimba pretul:"
"You will no longer receive price alerts for this product","Nu vei mai primi alerte de pret pentru acest produs."
"You will no longer receive price alerts for this product.","Ai fost dezabonat de la toate alertele de pret."
"You will no longer receive stock alerts","Nu vei mai primi alerte de stoc."
"You will no longer receive stock alerts for this product","Nu vei mai primi alerte de stoc pentru acest produs."
"You will no longer receive stock alerts for this product."," Ai fost dezabonat de la alerta de stoc."
"You will no longer receive stock alerts.","Ai fost dezabonat de la toate alertele de stoc."